DEBUG 2017-02-09 13:40:59,900: Donation Box Server started
INFO 2017-02-09 13:41:17,439: New connection was opened
DEBUG 2017-02-09 13:41:17,444: COINS|0
DEBUG 2017-02-09 13:41:17,449: Get project total amount donated: 29.0
DEBUG 2017-02-09 13:41:17,450: PID|1|TOTAL|29.0
DEBUG 2017-02-09 13:41:23,190: COINS|1.0000000000|EUR
DEBUG 2017-02-09 13:41:24,573: Process message: PLAY|||0|MSF|1|1.00EUR
DEBUG 2017-02-09 13:41:24,574: Process donation: PLAY|||0|MSF|1|1.00EUR
DEBUG 2017-02-09 13:41:24,577: Insert donation to DB
DEBUG 2017-02-09 13:41:24,580: Name: Email: public:0 Project Name:MSF ProjectID:1 Currency:EUR Value:1.00
INFO 2017-02-09 13:41:24,598: Data written successfuly
DEBUG 2017-02-09 13:41:24,599: Thermal printer is disabled
DEBUG 2017-02-09 13:41:24,599: Switch to: 
DEBUG 2017-02-09 13:41:24,600: /home/commonslab/donation-box/scripts/pacman.sh
DEBUG 2017-02-09 13:43:45,925: Donation Box Server started
DEBUG 2017-02-09 13:44:05,693: COINS|0.5000000000|EUR
INFO 2017-02-09 13:44:10,696: New connection was opened
DEBUG 2017-02-09 13:44:10,702: DonationID: -1L Currency: 'EUR' Value: Decimal('0.5000000000')
DEBUG 2017-02-09 13:44:10,704: COINS|0.5000000000|EUR
DEBUG 2017-02-09 13:44:10,709: Get project total amount donated: 30.0
DEBUG 2017-02-09 13:44:10,714: PID|1|TOTAL|30.0
DEBUG 2017-02-09 13:44:14,271: Process message: PLAY|||0|MSF|1|0.50EUR
DEBUG 2017-02-09 13:44:14,272: Process donation: PLAY|||0|MSF|1|0.50EUR
DEBUG 2017-02-09 13:44:14,275: Insert donation to DB
DEBUG 2017-02-09 13:44:14,277: Name: Email: public:0 Project Name:MSF ProjectID:1 Currency:EUR Value:0.50
INFO 2017-02-09 13:44:14,307: Data written successfuly
DEBUG 2017-02-09 13:44:14,308: Thermal printer is disabled
DEBUG 2017-02-09 13:44:14,310: Switch to: 
DEBUG 2017-02-09 13:44:14,311: /home/commonslab/donation-box/scripts/pacman.sh
DEBUG 2017-02-09 13:44:40,323: COINS|1.0000000000|EUR
DEBUG 2017-02-09 13:44:41,544: Process message: DONATION|||0|MSF|1|1.00EUR
DEBUG 2017-02-09 13:44:41,545: Process donation: DONATION|||0|MSF|1|1.00EUR
DEBUG 2017-02-09 13:44:41,550: Insert donation to DB
DEBUG 2017-02-09 13:44:41,554: Name: Email: public:0 Project Name:MSF ProjectID:1 Currency:EUR Value:1.00
INFO 2017-02-09 13:44:41,573: Data written successfuly
DEBUG 2017-02-09 13:44:41,574: Thermal printer is disabled
